5,4,0,0,0,9,7,7,0,100,8,100,0,0
8,1,2,2,100,5,7,7,6,0,0,100,9,0
0,100,4,4,3,5,0,0,0,9,100,7,8,0
9,5,7,7,100,8,0,0,1,0,0,100,3,0
7,5,0,0,0,6,1,1,0,0,4,0,9,2
0,0,5,5,0,9,100,100,100,8,0,0,4,7
4,3,100,100,5,0,6,6,7,0,0,100,0,0
0,7,8,8,0,9,6,6,100,0,0,0,0,100
100,2,4,4,0,5,100,100,6,0,7,0,0,9
0,100,100,100,3,5,0,0,0,4,6,9,7,0
100,2,5,5,4,6,7,7,8,3,100,0,0,0
100,6,9,9,0,4,3,3,0,5,100,0,0,0
0,9,100,100,0,0,0,0,6,0,3,5,100,4
2,8,0,0,0,3,100,100,0,100,0,4,9,7
0,0,5,5,6,7,8,8,0,0,100,100,0,9
7,0,0,0,0,9,4,4,100,8,6,5,0,100
0,100,0,0,100,5,4,4,3,0,7,6,0,8
7,100,100,100,3,5,4,4,9,6,0,0,0,0
4,100,0,0,100,0,8,8,7,0,6,5,0,0
0,7,3,3,6,0,100,100,5,100,4,8,0,9
5,4,0,0,0,9,7,7,0,100,8,100,0,0
100,9,8,8,7,3,0,0,0,100,0,0,5,0
0,9,4,4,2,0,100,100,100,8,0,0,0,7
0,9,6,6,0,0,0,0,3,0,100,8,100,0
7,100,0,0,0,0,0,0,6,0,8,0,9,100
2,5,100,100,6,7,0,0,100,3,0,8,4,0
3,8,0,0,0,9,100,100,1,0,7,0,100,2
2,0,0,0,0,0,100,100,100,4,8,7,0,5
4,3,100,100,5,0,0,0,8,0,7,0,100,0
9,1,4,4,0,8,100,100,0,0,2,7,0,100
0,0,100,100,4,3,100,100,7,0,6,9,0,0
